timestamp,ir,red,heart_rate,spo2,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,temp,gsr,cortisol
2025-03-06 09:32:59,2224,1279,96,,-2.83,3.39,8.69,-0.05,-0.01,0.02,25.85,1430,19.63
2025-03-06 09:32:59,2245,1307,83,,-2.85,3.4,8.85,-0.05,-0.01,0.02,25.89,1448,19.31
2025-03-06 09:33:00,2268,1277,94,,-2.81,3.39,8.82,-0.05,-0.01,0.01,25.89,1459,19.62
2025-03-06 09:33:00,2232,1288,87,,-2.8,3.41,8.74,-0.05,-0.01,0.02,25.89,1497,20.08
2025-03-06 09:33:01,2242,1265,86,,-2.8,3.37,8.76,-0.05,-0.01,0.02,25.89,1481,19.54
2025-03-06 09:33:01,2220,1294,85,,-2.83,3.44,8.81,-0.04,-0.01,0.01,25.8,1458,19.48
2025-03-06 09:33:02,2209,1258,93,,-2.8,3.34,8.9,-0.05,-0.01,0.02,25.75,1467,19.11
2025-03-06 09:33:02,2242,1277,95,,-2.8,3.41,8.83,-0.05,-0.01,0.02,25.89,1484,19.41
2025-03-06 09:33:03,2187,1309,84,,-2.82,3.39,8.82,-0.05,-0.01,0.02,25.85,1496,19.29
2025-03-06 09:33:03,2203,1257,85,,-2.86,3.42,8.81,-0.05,-0.01,0.02,25.8,1443,19.76
2025-03-06 09:33:04,2244,1299,95,,-2.84,3.45,8.82,-0.05,-0.01,0.02,25.75,1457,19.84
2025-03-06 09:33:05,2214,1309,81,,-2.72,3.41,8.81,-0.05,-0.01,0.02,25.89,1197,18.85
2025-03-06 09:33:06,2276,1281,91,,-2.83,3.34,8.77,-0.05,-0.02,0.02,25.85,1245,19.51
2025-03-06 09:33:07,2245,1281,80,,-2.84,3.39,8.83,-0.05,-0.01,0.02,25.85,1239,19.64
2025-03-06 09:33:07,2211,1270,89,,-2.76,3.47,8.72,-0.05,-0.02,0.02,25.8,1264,19.65
2025-03-06 09:33:08,2200,1246,91,,-2.79,3.4,8.79,-0.05,-0.01,0.01,25.89,1247,19.73
2025-03-06 09:33:13,2217,1281,67,,-2.86,3.39,8.76,-0.05,-0.01,0.02,25.89,1275,19.28
2025-03-06 09:33:14,2264,1316,82,,-2.78,3.39,8.87,-0.05,-0.02,0.02,25.85,1307,18.93
2025-03-06 09:33:15,2206,1244,81,,-2.74,3.4,8.72,-0.05,-0.01,0.01,25.85,1295,19.81
2025-03-06 09:33:17,2166,1222,69,,-2.82,3.42,8.86,-0.06,-0.01,0.01,25.8,878,18.89
2025-03-06 09:33:18,2273,1286,69,,-2.85,3.41,8.76,-0.05,-0.0,0.02,25.89,419,17.5
2025-03-06 09:33:19,2240,1274,70,,-2.78,3.39,8.78,-0.05,-0.01,0.02,25.85,476,17.39
2025-03-06 09:33:19,2247,1272,86,,-2.82,3.35,8.8,-0.05,-0.01,0.02,25.8,596,17.29
2025-03-06 09:33:21,2247,1281,77,,-2.84,3.38,8.78,-0.05,-0.01,0.01,25.89,956,18.33
2025-03-06 09:33:21,2259,1330,73,,-2.81,3.39,8.79,-0.05,-0.01,0.01,25.94,923,18.93
2025-03-06 09:33:22,2246,1317,76,,-2.84,3.39,8.78,-0.05,-0.01,0.02,25.89,917,18.43
2025-03-06 09:33:26,2245,1288,72,,-2.83,3.39,8.73,-0.05,-0.01,0.02,25.75,630,18.21
2025-03-06 09:33:28,2262,1296,75,,-2.74,3.41,8.86,-0.05,-0.01,0.02,25.94,645,17.53
2025-03-06 09:33:28,2233,1261,87,,-2.82,3.35,8.79,-0.05,-0.01,0.01,25.89,1419,19.37
2025-03-06 09:33:29,2234,1308,94,,-2.8,3.43,8.8,-0.05,-0.01,0.01,25.8,1507,19.97
2025-03-06 09:33:31,2264,1321,88,,-2.83,3.35,8.84,-0.05,-0.01,0.02,25.89,1464,19.99
2025-03-06 09:33:32,2263,1319,85,,-2.81,3.38,8.8,-0.05,-0.02,0.02,25.8,1473,19.64
2025-03-06 09:33:32,2252,1306,90,,-2.83,3.42,8.81,-0.05,-0.01,0.02,25.85,1515,19.55
2025-03-06 09:33:33,2233,1272,91,,-2.81,3.39,8.78,-0.05,-0.01,0.01,25.85,1532,19.97
2025-03-06 09:33:34,2211,1243,87,,-2.87,3.39,8.75,-0.05,-0.01,0.02,25.85,1569,21.83
2025-03-06 09:33:35,2243,1334,91,,-2.82,3.44,8.8,-0.05,-0.01,0.02,25.85,1615,19.54
2025-03-06 09:33:35,2223,1285,91,,-2.84,3.39,8.9,-0.05,-0.01,0.02,25.8,1606,20.25
2025-03-06 09:33:36,2227,1277,88,,-2.8,3.39,8.81,-0.05,-0.02,0.02,25.89,1628,19.92
2025-03-06 09:33:36,2238,1285,95,,-2.81,3.38,8.78,-0.05,-0.01,0.02,25.85,1626,19.66
2025-03-06 09:33:37,2250,1274,92,,-2.81,3.38,8.79,-0.05,-0.01,0.02,25.85,1603,19.6
2025-03-06 09:33:38,2203,1229,94,,-2.81,3.47,8.79,-0.05,0.05,0.02,25.8,1561,19.26
2025-03-06 09:33:38,2224,1267,87,,-2.83,3.41,8.7,-0.05,-0.02,0.02,25.8,1535,19.94
2025-03-06 09:33:39,2258,1276,91,,-2.8,3.37,8.85,-0.05,-0.02,0.02,25.85,1529,19.62
2025-03-06 09:33:39,2219,1284,88,,-2.82,3.39,8.83,-0.05,-0.01,0.01,25.94,1527,20.13
2025-03-06 09:33:40,2274,1275,86,,-2.83,3.4,8.75,-0.05,-0.01,0.02,25.85,1520,19.67
2025-03-06 09:33:41,2242,1246,108,,-2.83,3.42,8.84,-0.05,-0.0,0.02,25.8,1520,19.62
2025-03-06 09:33:41,2211,1304,90,,-2.76,3.34,8.88,-0.05,-0.0,0.02,25.8,1501,20.03
2025-03-06 09:33:41,2207,1236,93,,-3.32,3.89,8.69,-0.23,0.07,0.17,25.85,1470,19.73
2025-03-06 09:33:42,2201,1317,84,,-2.92,3.22,8.77,-0.05,0.02,0.01,25.71,1520,19.18
2025-03-06 09:33:43,2276,1302,91,,-2.87,3.3,8.83,-0.05,-0.04,0.01,25.8,1488,19.32
2025-03-06 09:33:44,2251,1300,94,,-2.88,3.33,8.78,-0.05,-0.02,0.02,25.85,1527,19.54
2025-03-06 09:33:46,2244,1288,89,,-2.97,3.26,8.69,-0.04,-0.01,0.02,25.8,1389,19.69
2025-03-06 09:33:46,2248,1291,88,,-3.03,1.57,9.33,-0.36,-0.08,-0.05,25.85,1469,19.64
2025-03-06 09:33:46,2247,1281,91,,-2.91,1.23,9.33,-0.02,0.0,0.03,25.89,1506,19.34
2025-03-06 09:33:47,2239,1285,90,,-3.59,3.05,9.91,0.55,-0.21,-0.06,25.8,1554,19.79
2025-03-06 09:33:47,2254,1256,96,,-2.76,2.82,8.91,-0.24,0.08,-0.01,25.8,1574,19.43
2025-03-06 09:33:48,2250,1266,91,,-2.79,2.85,9.09,-0.05,-0.02,0.02,25.89,1603,19.71
2025-03-06 09:33:48,2214,1253,87,,-2.79,2.82,9.05,-0.05,-0.02,0.02,25.85,1612,19.48
2025-03-06 09:33:49,2239,1263,90,,-2.72,2.84,9.09,-0.05,-0.01,0.01,25.71,1638,20.04
2025-03-06 09:33:49,2211,1269,89,,-2.77,2.84,9.04,-0.05,-0.01,0.02,25.8,1616,19.31
2025-03-06 09:33:50,2246,1308,96,,-2.84,2.79,9.03,-0.05,-0.01,0.02,25.75,1513,19.45
2025-03-06 09:33:51,2230,1274,91,,-2.81,2.86,8.96,-0.05,-0.02,0.02,25.85,1530,19.96
2025-03-06 09:33:51,2240,1275,96,,-2.85,2.73,9.07,-0.11,-0.0,0.01,25.8,1600,19.87
2025-03-06 09:33:51,2224,1236,91,,-2.96,2.63,8.83,0.13,-0.03,-0.04,25.85,1605,19.8
2025-03-06 09:33:52,2289,1262,99,,-2.98,2.6,9.03,-0.07,0.01,0.02,25.71,1602,20.17
2025-03-06 09:33:52,2214,1207,88,,-3.12,2.62,9.14,-0.08,-0.03,0.01,25.75,1593,19.41
2025-03-06 09:33:53,2246,1271,90,,-3.05,2.74,8.93,-0.05,-0.03,0.02,25.8,1578,19.48
2025-03-06 09:33:54,2243,1252,91,,-2.99,2.78,8.97,-0.07,0.01,0.02,25.8,1613,19.63
2025-03-06 09:33:54,2210,1266,98,,-3.0,2.74,8.88,-0.05,0.01,0.02,25.8,1553,19.67
2025-03-06 09:33:55,2231,1272,99,,-3.04,2.68,9.05,-0.03,-0.01,0.02,25.8,1590,19.8
2025-03-06 09:33:56,2230,1280,93,,-2.96,2.65,8.98,-0.05,-0.02,0.02,25.85,1676,19.44
2025-03-06 09:33:56,2253,1282,92,,-3.0,2.64,8.99,-0.06,-0.03,0.02,25.8,1652,20.32
2025-03-06 09:33:57,2234,1281,92,,-3.05,2.64,8.92,-0.05,-0.01,0.01,25.71,1671,19.63
2025-03-06 09:33:57,2229,1285,94,,-2.99,2.76,8.9,-0.05,-0.01,0.01,25.85,1642,19.88
2025-03-06 09:33:58,2267,1275,99,,-2.97,2.72,8.99,-0.05,-0.02,0.01,25.8,1648,19.37
2025-03-06 09:34:00,2207,1258,87,,-3.02,2.72,8.94,-0.03,0.02,0.02,25.8,1626,19.32
2025-03-06 09:34:00,2238,1236,95,,-3.02,2.73,8.97,-0.05,-0.01,0.01,25.8,1603,19.51
2025-03-06 09:34:01,2204,1233,90,,-3.02,2.69,8.96,-0.05,-0.01,0.02,25.75,1595,19.4
2025-03-06 09:34:02,2216,1317,99,,-2.98,2.69,8.93,-0.05,-0.02,0.02,25.75,1591,19.57
2025-03-06 09:34:03,2248,1306,89,,-3.01,2.71,8.97,-0.05,-0.02,0.02,25.8,1593,19.58
2025-03-06 09:34:05,2214,1280,87,,-3.0,2.68,8.97,-0.05,-0.01,0.01,25.85,1584,19.67
2025-03-06 09:34:12,2275,1244,95,,-3.02,2.75,8.98,-0.05,-0.01,0.02,25.85,1526,20.08
2025-03-06 09:34:13,2237,1275,86,,-3.01,2.7,8.98,-0.05,-0.01,0.02,25.89,1497,19.97
2025-03-06 09:34:14,2174,1211,88,,-3.03,2.69,8.91,-0.05,-0.01,0.02,25.75,1535,19.95
2025-03-06 09:34:15,2243,1270,88,,-3.01,2.74,8.98,-0.05,-0.01,0.02,25.8,1535,19.96
2025-03-06 09:34:42,2235,1276,91,-1.0,-3.02,2.64,8.91,-0.05,-0.01,0.01,25.94,1584,19.25
2025-03-06 09:34:47,2260,1287,83,-1.0,-3.07,2.68,8.99,-0.05,-0.01,0.02,25.85,1445,19.21
2025-03-06 09:34:53,2264,1304,96,-1.0,-3.02,2.75,8.9,-0.05,-0.01,0.02,25.94,1495,19.71
2025-03-06 09:34:58,2240,1242,77,-1.0,-3.06,2.66,8.93,-0.05,-0.01,0.02,25.89,879,18.31
2025-03-06 09:35:04,2243,1283,78,-1.0,-3.05,2.67,8.97,-0.05,0.02,0.01,25.94,1075,19.0
2025-03-06 09:35:09,2249,1278,71,-1.0,-3.08,2.56,8.95,-0.05,-0.01,0.02,25.99,593,17.36
2025-03-06 09:35:15,2256,1312,94,-1.0,-3.11,2.51,9.01,-0.05,-0.01,0.01,25.94,1563,19.93
2025-03-06 09:35:21,199661,144384,78,-1.0,-2.65,2.67,9.1,-0.05,-0.01,0.02,26.04,746,16.07
2025-03-06 09:35:27,197699,143250,100,99.0,-2.51,2.7,9.17,-0.05,-0.01,0.01,25.99,667,17.74
2025-03-06 09:35:32,196117,141954,68,97.0,-2.63,2.67,9.11,-0.05,-0.01,0.01,25.99,627,17.73
2025-03-06 09:35:37,195451,141753,83,95.0,-2.55,2.7,9.13,-0.05,-0.02,0.01,26.04,568,17.76
2025-03-06 09:35:42,194487,141715,68,100.0,-2.64,2.67,9.13,-0.06,-0.02,0.02,25.99,545,17.15
2025-03-06 09:35:48,194988,141978,88,100.0,-2.65,2.72,9.13,-0.05,-0.01,0.02,25.99,511,17.77
2025-03-06 09:35:53,195530,141932,125,99.0,-2.61,2.73,9.15,-0.05,-0.01,0.02,25.94,496,16.99
2025-03-06 09:35:59,195320,141904,136,100.0,-2.58,2.61,9.16,-0.04,-0.04,0.02,25.85,477,17.17
2025-03-06 09:36:05,193087,140557,65,100.0,-2.59,2.63,9.14,-0.05,-0.01,0.02,25.94,459,17.33
2025-03-06 09:36:10,193939,141125,88,93.0,-2.59,2.55,9.1,-0.05,-0.03,0.02,25.94,429,16.72
2025-03-06 09:36:24,186307,137341,107,100.0,-2.63,2.67,9.02,-0.02,-0.03,0.0,25.85,863,18.17
2025-03-06 09:36:29,190908,140288,107,100.0,-2.61,2.67,9.16,-0.05,-0.01,0.01,25.94,807,18.49
2025-03-06 09:36:35,188502,139110,166,89.0,-2.61,2.7,9.08,-0.05,-0.01,0.02,25.85,1273,19.3
2025-03-06 09:36:40,191552,141782,150,99.0,-2.56,2.73,9.16,-0.05,-0.02,0.01,25.99,1300,19.62
2025-03-06 09:36:47,86001,78459,125,88.0,-2.67,2.65,9.24,-0.12,-0.01,0.05,25.99,912,18.7
2025-03-06 09:36:52,1650,1166,166,-1.0,-2.75,2.78,8.93,-0.04,-0.04,0.02,25.99,1315,18.9
2025-03-06 09:36:58,1713,914,150,100.0,-2.85,2.71,9.36,-0.22,0.32,0.03,25.94,1101,18.86
2025-03-06 09:37:05,1814,967,73,-1.0,-2.93,2.28,9.2,-0.05,-0.01,0.01,25.94,528,17.55
2025-03-06 09:37:10,1798,935,85,-1.0,-2.88,2.37,9.03,-0.05,-0.01,0.02,25.94,1461,19.94
2025-03-06 09:37:16,1843,995,96,-1.0,-2.81,2.66,8.99,0.02,-0.02,0.02,25.94,1800,20.43
2025-03-06 09:37:22,1871,1015,101,-1.0,-2.87,2.55,9.03,-0.05,-0.01,0.02,25.94,1701,19.59
2025-03-06 09:37:28,1828,975,96,-1.0,-2.91,2.56,9.05,-0.05,-0.01,0.01,25.85,1696,20.11
